Geocodigo,Nome,UF,Lat,Lon
3518305,GUARAREMA,SP,-23.4155,-46.0354
3518404,GUARATINGUETÁ,SP,-22.8169,-45.1929
3518503,GUAREÍ,SP,-23.3733,-48.1846
3518602,GUARIBA,SP,-21.3605,-48.2287
3518701,GUARUJÁ,SP,-23.9935,-46.2568
3518800,GUARULHOS,SP,-23.4633,-46.5337
3518859,GUATAPARÁ,SP,-21.4971,-48.0382
3518909,GUZOLÂNDIA,SP,-20.6502,-50.6624
3519006,HERCULÂNDIA,SP,-22.0041,-50.3857
3519055,HOLAMBRA,SP,-22.6335,-47.056
3519071,HORTOLÂNDIA,SP,-22.8588,-47.2204
3519105,IACANGA,SP,-21.8905,-49.0251
3519204,IACRI,SP,-21.8588,-50.6899
3519253,IARAS,SP,-22.8713,-49.1632
3519303,IBATÉ,SP,-21.9552,-47.9971
3519402,IBIRÁ,SP,-21.0807,-49.2412
3519501,IBIRAREMA,SP,-22.818,-50.0729
3519600,IBITINGA,SP,-21.7582,-48.8293
3519709,IBIÚNA,SP,-23.6569,-47.2229
3519808,ICÉM,SP,-20.3421,-49.1954
3519907,IEPÊ,SP,-22.661,-51.0765
3520004,IGARAÇU DO TIETÊ,SP,-22.5096,-48.5582
3520103,IGARAPAVA,SP,-20.0388,-47.7473
3520202,IGARATÁ,SP,-23.2049,-46.1565
3520301,IGUAPE,SP,-24.7085,-47.5557
3520426,ILHA COMPRIDA,SP,-24.7416,-47.5404
3520442,ILHA SOLTEIRA,SP,-20.4332,-51.3429
3520400,ILHABELA,SP,-23.7785,-45.3584
3520509,INDAIATUBA,SP,-23.0908,-47.2185
3520608,INDIANA,SP,-22.1749,-51.2521
3520707,INDIAPORÃ,SP,-19.9805,-50.2901
3520806,INÚBIA PAULISTA,SP,-21.7702,-50.9624
3520905,IPAUSSU,SP,-23.0571,-49.6268
3521002,IPERÓ,SP,-23.3508,-47.689
3521101,IPEÚNA,SP,-22.4363,-47.7193
3521150,IPIGUÁ,SP,-20.6571,-49.3876
3521200,IPORANGA,SP,-24.586,-48.5935
3521309,IPUÃ,SP,-20.4385,-48.0126
3521408,IRACEMÁPOLIS,SP,-22.581,-47.519
3521507,IRAPUÃ,SP,-21.2799,-49.4093
3521606,IRAPURU,SP,-21.5713,-51.3454
3521705,ITABERÁ,SP,-23.8624,-49.1376
3521804,ITAÍ,SP,-23.4183,-49.091
3521903,ITAJOBI,SP,-21.3185,-49.0549
3522000,ITAJU,SP,-21.9816,-48.8051
3522109,ITANHAÉM,SP,-24.1835,-46.7893
3522158,ITAÓCA,SP,-24.6405,-48.8432
3522208,ITAPECERICA DA SERRA,SP,-23.7174,-46.8496
3522307,ITAPETININGA,SP,-23.5921,-48.0535
3522406,ITAPEVA,SP,-23.9827,-48.876
3522505,ITAPEVI,SP,-23.5494,-46.9346
3522604,ITAPIRA,SP,-22.4366,-46.8221
3522653,ITAPIRAPUÃ PAULISTA,SP,-24.5744,-49.1685
3522703,ITÁPOLIS,SP,-21.596,-48.8132
3522802,ITAPORANGA,SP,-23.7083,-49.4901
3522901,ITAPUÍ,SP,-22.2338,-48.7196
3523008,ITAPURA,SP,-20.6466,-51.5093
3523107,ITAQUAQUECETUBA,SP,-23.4866,-46.3487
3523206,ITARARÉ,SP,-24.113,-49.3321
3523305,ITARIRI,SP,-24.2896,-47.1749
3523404,ITATIBA,SP,-23.0063,-46.8393
3523503,ITATINGA,SP,-23.1021,-48.6162
3523602,ITIRAPINA,SP,-22.2533,-47.8232
3523701,ITIRAPUÃ,SP,-20.6413,-47.2196
3523800,ITOBI,SP,-21.7374,-46.9754
3523909,ITU,SP,-23.2646,-47.2996
3524006,ITUPEVA,SP,-23.1535,-47.0582
3524105,ITUVERAVA,SP,-20.3399,-47.781
3524204,JABORANDI,SP,-20.6885,-48.4129
3524303,JABOTICABAL,SP,-21.2552,-48.3226
3524402,JACAREÍ,SP,-23.3058,-45.9662
3524501,JACI,SP,-20.8827,-49.5704
3524600,JACUPIRANGA,SP,-24.693,-48.0026
3524709,JAGUARIÚNA,SP,-22.706,-46.9862
3524808,JALES,SP,-20.2693,-50.5462
3524907,JAMBEIRO,SP,-23.2541,-45.6882
3525003,JANDIRA,SP,-23.528,-46.9029
3525102,JARDINÓPOLIS,SP,-21.0182,-47.7643
3525201,JARINU,SP,-23.1019,-46.7287
3525300,JAÚ,SP,-22.2969,-48.5582
3525409,JERIQUARA,SP,-20.3116,-47.5896
3525508,JOANÓPOLIS,SP,-22.9308,-46.276
3525607,JOÃO RAMALHO,SP,-22.2507,-50.7682
3525706,JOSÉ BONIFÁCIO,SP,-21.0532,-49.6887
3525805,JÚLIO MESQUITA,SP,-22.0094,-49.7876
3525854,JUMIRIM,SP,-23.0871,-47.7846
3525904,JUNDIAÍ,SP,-23.1869,-46.8846
3526001,JUNQUEIRÓPOLIS,SP,-21.5152,-51.434
3526100,JUQUIÁ,SP,-24.3213,-47.6351
3526209,JUQUITIBA,SP,-23.9321,-47.0687
3526308,LAGOINHA,SP,-23.091,-45.1907
3526407,LARANJAL PAULISTA,SP,-23.0502,-47.8371
3526506,LAVÍNIA,SP,-21.1688,-51.0401
3526605,LAVRINHAS,SP,-22.5713,-44.9026
3526704,LEME,SP,-22.186,-47.3907
3526803,LENÇÓIS PAULISTA,SP,-22.5991,-48.8007
3526902,LIMEIRA,SP,-22.5652,-47.4021
3527009,LINDÓIA,SP,-22.5235,-46.6504
3527108,LINS,SP,-21.6791,-49.7429
3527207,LORENA,SP,-22.7313,-45.1251
3527256,LOURDES,SP,-20.9674,-50.2246
3527306,LOUVEIRA,SP,-23.0869,-46.951
